"filename", "language", "Java", "comment", "blank", "total"
"c:\prog\workspace java\catan\src\Board.java", "Java", 35, -4, 1, 32
"c:\prog\workspace java\catan\src\Ui.java", "Java", 46, -6, 3, 43
"Total", "-", 81, -10, 4, 75
